Al Bake, New Friends Colony, North-Indian Mughlai Chinese, 21 To 23 Community Center New Friends Colony, Delhi
Al Zaitoon, DLF Cyber City, Middle-Eastern Lebanese, 117B 1st Floor Cyber Hub DLF Cyber City, Gurgaon
Apni Rasoi,DLF Phase 3, North-Indian Chinese, U 71/4 DLF Phase 3, Gurgaon
Art Of Spices, Karol Bagh, Street-Food Mughlai, B1/3 Behind City Hospital Pusa Road Karol Bagh, Delhi
Angel's Basket, Lajpat Nagar 2, Bakery, C152 Lajpat Nagar 2, New Delhi
Anupama Sweets, Kailash Colony, North-Indian South-Indian Chinese, HS 12 Kailash Colony Market, New Delhi
Angels in my Kitchen, New Friends Colony, Bakery Desserts Fast-Food, 9 AB Taimur Nagar New Friends Colony, New Delhi
Angrezee Dhaba, DLF Phase 1, North-Indian Mughlai, 3rd Floor DT Mega Mall DLF Phase 1, Gurgaon
August Spice, Saket, North-Indian Mughlai, Opposite Select City Walk Saket, New Delhi
Asia Kitchen, Sector 63, Asian Chinese North-Indian, H1A Sector 63, Noida
Buzz, Golf Course Road, North-Indian Continental,312 B 3rd Floor South Point Mall Golf Course Road, Gurgaon
Berco's, Mathura Road, Chinese Thai, Crown Interior Mall Mathura Road, Faridabad
Buddy's Broaster, DLF Phase 4, American, A201 DLF Supermart 1 DLF Phase 4, Gurgaon
Big Chill, Khan Market, Continental Italian Desserts, 35 Khan Market, New Delhi
Black Lounge Bar, Sector 63, North-Indian Chinese, H 1/A 31 H Block Commercial Market Sector 63, Noida
Burger Point, DLF Phase 1, Fast-Food, M 15 Qutab Plaza DLF Phase 1, Gurgaon
Baskin Robbins, DLF Cyber City, Desserts, 8 Ground Floor in Attrium Lobby Tower C DLF Cyber City, Gurgaon
Bawarchi, Sector 7, North-Indian Thai, 83 R Circular Road New Colony Sector 7, Gurgaon
Barista Lavazza Espresso Bar, Sector 127, Cafe, Logix Techno Park 5 Tower D Sector 127, Noida
Bikano Chat Cafe, Udyog Vihar, North-Indian Street-Food, 267 Phase 2 Udyog Vihar, Gurgaon
Chili's, Vasant Kunj, Mexican American Italian, 3rd Floor Ambience Mall Vasant Kunj, New Delhi
Choko La, Khan Market, Cafe Fast-Food Desserts, 36 Khan Market, New Delhi
Concept, Defence Colony, Chinese North-Indian Mughlai, 142 Flyover Market Defence Colony, New Delhi
Changezi, Karol Bagh, North-Indian Mughlai, 11137 Opposite Junior J D Tytler School Karol Bagh, Delhi
Chickenette, Sector 15, Raw-Meats North-Indian Chinese, 11 & 12 Main Market Sector 15, Faridabad
Cafe Delhi Heights, Ambience Mall, Cafe Continental American, 3rd Floor Ambience Mall, Gurgaon
China Bowl, DLF Phase 1, Chinese Thai Asian, A 5 Qutab Plaza DLF Phase 1, Gurgaon
Cafe Turtle, Khan Market, Cafe Continental Italian, 23 1st & 2nd Floor Khan Market, New Delhi
Colonel's Kababz, Defence Colony, North-Indian Mughlai, 29 Defence Colony Market, New Delhi
Classic Caterers, Preet Vihar, Fast-Food, Preet Vihar Metro Station Preet Vihar, Delhi
Cocoberry, Connaught Place, Desserts, A 23 Inner Circle Connaught Place, New Delhi
Dana Choga's Kitchen, DLF Phase 1, North-Indian Mughlai, E 12 Qutab Plaza DLF Phase 1, Gurgaon
Dunkin' Donuts, East Patel Nagar, Cafe Desserts, 18/31 Ground Floor East Patel Nagar, New Delhi
Doughlicious, DLF Cyber City, Bakery Cafe, Food Junction Ground Floor Infinity Tower B DLF Cyber City, Gurgaon
Deez Biryani & Kebabs, Connaught Place, Biryani North-Indian Mughlai, M13 Connaught Place, New Delhi
Dosa Plaza, Sector 18, South-Indian, 7 Food Court Centre Stage Mall Sector 18, Noida
Delhi 9, Sector 31, North-Indian Chinese Mughlai, 24 & 25 HUDA Market Sector 31, Faridabad
Di Ghent Boulangerie, DLF Phase 4, Bakery Desserts, Level 2 Cross Point Mall DLF Phase 4, Gurgaon
Donald's Pastry Shop, Sector 18, Desserts Bakery, J 55 Sector 18, Noida
Dhaba By Claridges, Saket, North-Indian, Second Floor DLF Place Saket, New Delhi
Elma's Bakery, Hauz Khas Village, Bakery Cafe, 1st Floor 24/1 Hauz Khas Village, Delhi
Evergreen Sweet Shop, Dwarka, South-Indian Chinese North-Indian, 3 Pinnacle Mall Sector 10 Dwarka, New Delhi
Embassy, Civil Lines, Continental North-Indian Chinese, 2 13 Alipur Road Civil Lines, New Delhi
Eagle Boys Pizza, Paschim Vihar, Pizza, D Mall Paschim Vihar, New Delhi
Earth, Sector 15, Lounge Italian, SCO 10 To 12 Behind 32nd Milestone Sector 15, Gurgaon
Eggspectation - Jaypee Siddharth, Rajendra Place, Continental North-Indian Italian, Jaypee Siddharth 3 Rajendra Place, New Delhi
Fresc Co, Janpath, Italian Mediterranean, 78 Janpath, New Delhi
Flaming Wok, Chittaranjan Park, Chinese, K 1/46 Chittaranjan Park, New Delhi
Flying Cakes, DLF Phase 3, Bakery, Shop No 3 U 6/50 DLF Phase 3, Gurgaon
Fast Trax, New Friends Colony, Fast-Food, 12 Community Center New Friends Colony, Delhi
Frequent Bakes, Indirapuram, Bakery Fast-Food Desserts, 16 Windsor Street Vaibhav Khand 5 Indirapuram, Ghaziabad
Food Factory, Vijay Nagar, North-Indian Chinese, F 17A Vijay Nagar, New Delhi
Fruto Freesh, Netaji Subhash Place, Chinese Continental Fast-Food, G 72 Aggarwal Cyber Plaza 2 Netaji Subhash Place,New Delhi
Frontier, Sector 23, Bakery, 6 HUDA Market Sector 23, Gurgaon
Fresh n Frozen, Indirapuram, Raw-Meats, 4 B Ground Floor Mahagun Mansion Market Indirapuram, Ghaziabad
Green Chick Chop, Safdarjung, Raw-Meats, 1/2 Arjun Nagar Safdarjung Enclave, New Delhi
Geoffrey's, Sector 18, Pub Italian Continental, 16 A Centre Stage Mall Sector 18, Noida
Gola Sizzlers, Dwarka, Chinese North-Indian, F 5 1st Floor Sector 5 Dwarka, New Delhi
Golden Dragon, Rajouri Garden, Chinese Japanese Sea-Food, SF 47 West Gate Mall Rajouri Garden, New Delhi
Gloria Jean's Coffees, Sector 18, Cafe, G10 Sector 18, Noida
Gopala, Lajpat Nagar 4, Desserts Bakery Fast-Food, 3 Arya Samaj Mandir Amar Colony Market Lajpat Nagar 4, Delhi
Giani, Sector 18, Desserts, B 1/14 Sector 18, Noida
Grillz, Kamla Nagar, Fast-Food, Kamla Nagar Main Market, New Delhi
G +, Sainik Farms, Desserts, Main IGNOU Road Neb Sarai Sainik Farms, New Delhi
Gopal's 56, Lajpat Nagar 2, Desserts, C-7 Central Market Near Roxy Drycleaner Lajpat Nagar 2, Delhi 
Ghughar Bikaner, Kamla Nagar, Bakery North-Indian South-Indian, D-6 7 8 9 Chandraval Road Clock Tower Kamla Nagar, New Delhi
Gullu's, Pitampura, North-Indian, Near Bikanervala Sweets Pitampura, New Delhi
Grand Plaza, Golf Course Road, Bakery Cafe Fast-Food, 6 Central Plaza Mall Sector 53 Golf Course Road, Gurgaon
Ginger Garlic, DLF Phase 4, Chinese, B 209 Super Mart 1 DLF Phase 4, Gurgaon
Gelato Roma, Hauz Khas Village, Desserts, 36 3rd Floor Hauz Khas Village, New Delhi
How Abt Chicken Today?, New Friends Colony, North-Indian Fast-Food, 6 Community Centre New Friends Colony, New Delhi
Healthy Bakes, Sector 50, Bakery North-Indian Chinese, 31 Block B1 Central Market Sector 50, Noida
Hyderabadi Cuisine, Sector 18, Hyderabadi, Food Court Centre Stage Mall Sector 18, Noida
Hello Delhi 9, NIT, North-Indian Chinese Mughlai, 1H 27 Oppoaite Dayanand Public School NIT, Faridabad
Hum Sabki Rasoi, Rohini, North-Indian, 226 D-15 Sector 3 Ayodhya Chowk Rohini, New Delhi
Hasty Tasty, East of Kailash, Chinese Fast-Food, C Block Market East of Kailash, New Delhi
Hard Rock Cafe, Saket, American Mediterranean Mexican, M 110 1st Floor DLF Place Mall Saket, New Delhi
Hawkers, Vasant Kunj, Chinese, B1 Vasant Kunj, New Delhi
Hunger Cure, Sector 14, Fast-Food, SCF 77 Sector 14 Market, Faridabad
High On Burgers, Lajpat Nagar 4, Fast-Food, 13 & 14 C Block Amar Colony Market Lajpat Nagar 4,New Delhi
Handi X-Press, DLF Phase 3, North-Indian Chinese, U-25 Lane Pink Town House DLF Phase 3, Gurgaon
Hello Delhi 9, NIT, North-Indian Chinese Mughlai, 1H 27 Oppoaite Dayanand Public School NIT, Faridabad
Imperfecto, Hauz Khas Village, Mediterranean Italian Continental, 1A/1 Hauz Khas Village, New Delhi
Idliss, DLF Phase 3, South-Indian North-Indian Chinese, U 10/1 DLF Phase 3, Gurgaon
Italiano, DLF Cyber City, Italian, Cyber Hub DLF Cyber City, Gurgaon
Idli King, Satyaniketan, South-Indian, 37 Satyaniketan, New Delhi
Iroha, Sushant Lok, Bakery Desserts, GF 144-146 Vyapar Kendra Phase 1 Sushant Lok, Gurgaon
Juneja's Eating Plaza, Chittaranjan Park, North-Indian Mughlai Chinese, K 1/102 Chittaranjan Park, New Delhi
Joost Juice Bars,Sector 44, Juices Healthy-Food, Ground Floor Fortis Hospital Sector 44, Gurgaon
Just Chinese, Vaishali, Chinese, Ansal Plaza Mall Vaishali, Ghaziabad
Jazeera, Sector 18, Mughlai, F-31 Sector 18, Noida
Jain Chaat Gharana, Sahibabad, Street-Food, Pacific Mall Sahibabad, Ghaziabad
Karim's, Jama Masjid, Mughlai North-Indian, 16 Gali Kababian Jama Masjid, New Delhi
Khaaja Chowk, MG Road, North-Indian Mughlai, 3rd Floor Plaza Mall MG Road, Gurgaon
Khan Chacha, Connaught Place, Street-Food Mughlai North-Indian, D 3 Connaught Place, New Delhi
Karnataka, Yusuf Sarai, South-Indian North-Indian Chinese, 60/5 Yusuf Sarai Market, New Delhi
Kent's Fast Food, Defence Colony, Fast-Food, 29 Defence Colony Market, New Delhi
Koul Kashmiri Dawat, Sector 39, Kashmiri, Near Sohna Road Sector 39, Gurgaon
Kebab Xpress, Connaught Place, North-Indian, M 43 Ground Floor Opposite Shankar Market Connaught Place, New Delhi
Khan Chacha, DLF Phase 4, Fast-Food, 90 Ground Floor DLF Galleria DLF Phase 4, Gurgaon
Kamboj's, Sector 37, North-Indian Chinese, AVCC Club Sector 37, Noida
Kathi Zone, Vasant Kunj, Street-Food North-Indian, Aruna Asaf Ali Marg Vasant Kunj, New Delhi
Kent's - The Lounge, Lajpat Nagar 4, Fast-Food, E 143 Amar Colony Lajpat Nagar 4, New Delhi
Kunafa, Lodhi Colony, Arabian Cafe Desserts, 70 Mehar Chand Market Lodhi Colony, New Delhi
Kebabplus, Sector 34, Lebanese Mexican Indian, R-2 C-74 Sector 34, Noida
Kaleva, Gole Market, North-Indian, 109 Bangla Saheb Marg Gole Market, New Delhi
Kausstubh, Saket, South-Indian, A-5 DLF Place Mall Saket, New Delhi
KB's,Sohna Road, Desserts, 1 Islampur Village Sohna Road, Gurgaon
Kings Kulfi, Laxmi Nagar, Desserts, Ground Floor V3S Mall Laxmi Nagar, New Delhi
Kathi Zone, DLF Phase 2, Fast-Food North-Indian, Garden Estate DLF Phase 2, Gurgaon
Kedgy Bite, Karol Bagh, Fast-Food, Jhandewalan Metro Station Karol Bagh, Delhi
Khalsa Veg Corner And Caterers, Uttam Nagar, Mughlai Fast-Food, A 27 Milap Nagar Uttam Nagar, New Delhi
L'Opera, Khan Market, Bakery Fast-Food, 5-B Khan Market, New Delhi
Let's Noodle, Sector 18, Chinese, G-24 1st Floor Sector 18, Noida
Lavazza Espression,Connaught Place, Cafe, N 16 Connaught Place, New Delhi
Lions of Punjab, Model Town 3, North-Indian, Main GT Karnal Road Jindpur Model Town 3, New Delhi
Laxmi Ice Cream, Jail Road, Fast-Food Desserts, 27/1 Ashok Nagar Double Store Jail Road, New Delhi
Le Marche - Sugar & Spice, Vasant Kunj, Bakery Raw-Meats, DLF Promenade Mall Vasant Kunj, New Delhi
Mitthu Tikki Wala, Shalimar Bagh, Chinese South-Indian Street-Food, SE 42 Near BW Block Shalimar Bagh, New Delhi
Milestone 2000, Sector 25, North-Indian South-Indian, Food Court Spice World Mall Sector 25 A, Noida
Moets Lazy Panda Express, Kamla Nagar, Chinese Thai, Food Court Spark MLCP Kamla Nagar, New Delhi
